 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.68172080e-12  2.59372423e-06  3.61729446e-01  1.14302905e+00  1.14302905e+00  2.59373749e-06  6.57607302e-12  2.37145405e-01  2.37874595e-01  2.41568543e-10  2.54087387e-06 
 1.00000000e+00  2.65708387e-08  2.56715230e-06  3.61714185e-01  1.14302812e+00  1.49787748e-07  2.59373807e-06  6.48296798e-11  2.37173434e-01  2.37871672e-01  2.65990536e-08  2.51504395e-06 
 0.00000000e+00  4.65755931e-08  2.54714812e-06  3.61700219e-01  1.14302812e+00  1.14302811e+00  2.59373865e-06  6.48391167e-11  2.37193029e-01  2.37869450e-01  4.64309799e-08  2.49559610e-06 
 1.00000000e+00  6.95361822e-08  2.52418800e-06  3.61687016e-01  1.14302718e+00  1.49783970e-07  2.59373911e-06  1.23101529e-10  2.37214135e-01  2.37866882e-01  6.91822155e-08  2.47327212e-06 
 0.00000000e+00  8.66202950e-08  2.50710436e-06  3.61673938e-01  1.14302812e+00  1.14302811e+00  2.59373962e-06  6.48281816e-11  2.37228981e-01  2.37864956e-01  8.61034142e-08  2.45666014e-06 
 1.00000000e+00  1.10808107e-07  2.48291705e-06  3.61661634e-01  1.14302718e+00  1.49783969e-07  2.59374008e-06  1.23108634e-10  2.37248886e-01  2.37862211e-01  1.10050522e-07  2.43313825e-06 
 0.00000000e+00  1.29382549e-07  2.46434305e-06  3.61649954e-01  1.14302718e+00  1.14302718e+00  2.59374054e-06  1.23105082e-10  2.37263363e-01  2.37860088e-01  1.28432742e-07  2.41507322e-06 
 1.00000000e+00  1.50648192e-07  2.44307781e-06  3.61639026e-01  1.14302625e+00  1.49780189e-07  2.59374094e-06  1.81390902e-10  2.37279180e-01  2.37857645e-01  1.49470436e-07  2.39438868e-06 
 0.00000000e+00  1.66826791e-07  2.42689962e-06  3.61627014e-01  1.14302812e+00  1.14302811e+00  2.59374135e-06  6.48101248e-11  2.37290702e-01  2.37855765e-01  1.65470396e-07  2.37865087e-06 
 1.00000000e+00  1.91200458e-07  2.40252639e-06  3.61616496e-01  1.14302718e+00  1.49783967e-07  2.59374177e-06  1.23102837e-10  2.37307305e-01  2.37852919e-01  1.89566745e-07  2.35493860e-06 
 0.00000000e+00  2.10539964e-07  2.38318726e-06  3.61606264e-01  1.14302718e+00  1.14302718e+00  2.59374216e-06  1.23098662e-10  2.37319892e-01  2.37850643e-01  2.08679312e-07  2.33612184e-06 
 1.00000000e+00  2.32237752e-07  2.36148986e-06  3.61596806e-01  1.14302625e+00  1.49780190e-07  2.59374255e-06  1.81401560e-10  2.37333435e-01  2.37848068e-01  2.30115747e-07  2.31500840e-06 
 0.00000000e+00  2.49345164e-07  2.34438285e-06  3.61586770e-01  1.14302718e+00  1.14302718e+00  2.59374294e-06  1.23094424e-10  2.37343724e-01  2.37846023e-01  2.47012125e-07  2.29836020e-06 
 1.00000000e+00  2.72094573e-07  2.32163373e-06  3.61577870e-01  1.14302624e+00  1.49780188e-07  2.59374325e-06  1.81394455e-10  2.37356912e-01  2.37843288e-01  2.69474352e-07  2.27621894e-06 
 0.00000000e+00  2.90429325e-07  2.30329939e-06  3.61568999e-01  1.14302625e+00  1.14302624e+00  2.59374364e-06  1.81385781e-10  2.37367146e-01  2.37841060e-01  2.87572504e-07  2.25837273e-06 
 1.00000000e+00  3.10931156e-07  2.28279786e-06  3.61560908e-01  1.14302531e+00  1.49776413e-07  2.59374393e-06  2.39646157e-10  2.37378213e-01  2.37838555e-01  3.07804427e-07  2.23841501e-06 
 0.00000000e+00  3.27597335e-07  2.26613205e-06  3.61550520e-01  1.14302812e+00  1.14302811e+00  2.59374431e-06  6.48228138e-11  2.37386935e-01  2.37836502e-01  3.24247120e-07  2.22218982e-06 
 1.00000000e+00  3.51370551e-07  2.24235913e-06  3.61542709e-01  1.14302718e+00  1.49783971e-07  2.59374461e-06  1.23088934e-10  2.37398972e-01  2.37833552e-01  3.47695464e-07  2.19904294e-06 
 0.00000000e+00  3.71112677e-07  2.22261729e-06  3.61534804e-01  1.14302718e+00  1.14302718e+00  2.59374491e-06  1.23095791e-10  2.37408627e-01  2.37831084e-01  3.67162576e-07  2.17981890e-06 
 1.00000000e+00  3.92717972e-07  2.20101228e-06  3.61527697e-01  1.14302625e+00  1.49780190e-07  2.59374519e-06  1.81380244e-10  2.37418871e-01  2.37828357e-01  3.88461554e-07  2.15877846e-06 
 0.00000000e+00  4.10658085e-07  2.18307244e-06  3.61519705e-01  1.14302718e+00  1.14302718e+00  2.59374546e-06  1.23101529e-10  2.37427124e-01  2.37826073e-01  4.06143231e-07  2.14130565e-06 
 1.00000000e+00  4.33066529e-07  2.16066431e-06  3.61513038e-01  1.14302625e+00  1.49780192e-07  2.59374577e-06  1.81383259e-10  2.37437141e-01  2.37823204e-01  4.28223844e-07  2.11947856e-06 
