 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           v(Vbp)          v(Vcn)         
 0.00000000e+00  0.00000000e+00  1.00400683e-06  1.00819192e-06  3.55271368e-15  1.00374479e-06  6.96033804e-01  7.27560311e-01 
 1.00000000e-09  1.00000000e-09  1.00498213e-06  1.00819192e-06  0.00000000e+00  1.00471981e-06  6.96033805e-01  7.27560312e-01 
 2.00000000e-09  2.00000000e-09  1.00595727e-06  1.00819191e-06  3.55271368e-15  1.00569467e-06  6.96033805e-01  7.27560310e-01 
 3.00000000e-09  3.00000000e-09  1.00693236e-06  1.00819192e-06  7.10542736e-15  1.00666949e-06  6.96033805e-01  7.27560314e-01 
 4.00000000e-09  4.00000000e-09  1.00790737e-06  1.00819191e-06  1.06581410e-14  1.00764421e-06  6.96033806e-01  7.27560310e-01 
 5.00000000e-09  5.00000000e-09  1.00888232e-06  1.00819193e-06  3.55271368e-15  1.00861888e-06  6.96033804e-01  7.27560313e-01 
 6.00000000e-09  6.00000000e-09  1.00985715e-06  1.00819190e-06  3.55271368e-15  1.00959343e-06  6.96033806e-01  7.27560310e-01 
 7.00000000e-09  7.00000000e-09  1.01083193e-06  1.00819193e-06  7.10542736e-15  1.01056793e-06  6.96033804e-01  7.27560313e-01 
 8.00000000e-09  8.00000000e-09  1.01180661e-06  1.00819192e-06  3.55271368e-15  1.01154232e-06  6.96033805e-01  7.27560310e-01 
 9.00000000e-09  9.00000000e-09  1.01278120e-06  1.00819191e-06  3.55271368e-15  1.01251663e-06  6.96033805e-01  7.27560312e-01 
 1.00000000e-08  1.00000000e-08  1.01375573e-06  1.00819193e-06  0.00000000e+00  1.01349087e-06  6.96033804e-01  7.27560311e-01 
 1.10000000e-08  1.10000000e-08  1.01473015e-06  1.00819192e-06  7.10542736e-15  1.01446501e-06  6.96033804e-01  7.27560313e-01 
 1.20000000e-08  1.20000000e-08  1.01570448e-06  1.00819192e-06  7.10542736e-15  1.01543907e-06  6.96033805e-01  7.27560309e-01 
 1.30000000e-08  1.30000000e-08  1.01667872e-06  1.00819190e-06  3.55271368e-15  1.01641302e-06  6.96033806e-01  7.27560311e-01 
 1.40000000e-08  1.40000000e-08  1.01765290e-06  1.00819191e-06  7.10542736e-15  1.01738692e-06  6.96033805e-01  7.27560310e-01 
 1.50000000e-08  1.50000000e-08  1.01862699e-06  1.00819191e-06  3.55271368e-15  1.01836072e-06  6.96033805e-01  7.27560311e-01 
 1.60000000e-08  1.60000000e-08  1.01960097e-06  1.00819190e-06  3.55271368e-15  1.01933443e-06  6.96033806e-01  7.27560311e-01 
 1.70000000e-08  1.70000000e-08  1.02057489e-06  1.00819191e-06  3.55271368e-15  1.02030807e-06  6.96033805e-01  7.27560309e-01 
