 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           v(vbp)          v(vcn)         
 0.00000000e+00  0.00000000e+00  8.84238460e-09  1.00819193e-06  9.92073389e-07  1.00091466e-06  6.96033804e-01  7.27560311e-01 
 1.00000000e-09  1.00000000e-09  9.67933644e-09  1.00819190e-06  9.92185612e-07  1.00186384e-06  6.96033806e-01  7.27560310e-01 
 2.00000000e-09  2.00000000e-09  1.05348619e-08  1.00819193e-06  9.92281564e-07  1.00281532e-06  6.96033804e-01  7.27560311e-01 
 3.00000000e-09  3.00000000e-09  1.13935030e-08  1.00819192e-06  9.92374748e-07  1.00376714e-06  6.96033805e-01  7.27560312e-01 
 4.00000000e-09  4.00000000e-09  1.22588766e-08  1.00819193e-06  9.92462009e-07  1.00471979e-06  6.96033804e-01  7.27560311e-01 
 5.00000000e-09  5.00000000e-09  1.31303501e-08  1.00819192e-06  9.92543878e-07  1.00567315e-06  6.96033804e-01  7.27560314e-01 
 6.00000000e-09  6.00000000e-09  1.40072558e-08  1.00819192e-06  9.92620965e-07  1.00662714e-06  6.96033805e-01  7.27560310e-01 
 7.00000000e-09  7.00000000e-09  1.48890145e-08  1.00819193e-06  9.92693774e-07  1.00758171e-06  6.96033804e-01  7.27560311e-01 
 8.00000000e-09  8.00000000e-09  1.57751394e-08  1.00819192e-06  9.92762686e-07  1.00853675e-06  6.96033805e-01  7.27560312e-01 
 9.00000000e-09  9.00000000e-09  1.66652150e-08  1.00819193e-06  9.92828113e-07  1.00949226e-06  6.96033804e-01  7.27560309e-01 
 1.00000000e-08  1.00000000e-08  1.75588895e-08  1.00819192e-06  9.92890325e-07  1.01044815e-06  6.96033805e-01  7.27560311e-01 
 1.10000000e-08  1.10000000e-08  1.84558360e-08  1.00819191e-06  9.92949627e-07  1.01140438e-06  6.96033806e-01  7.27560309e-01 
 1.20000000e-08  1.20000000e-08  1.93557526e-08  1.00819191e-06  9.93006267e-07  1.01236096e-06  6.96033805e-01  7.27560311e-01 
 1.30000000e-08  1.30000000e-08  2.02584136e-08  1.00819190e-06  9.93060437e-07  1.01331779e-06  6.96033806e-01  7.27560311e-01 
 1.40000000e-08  1.40000000e-08  2.11636095e-08  1.00819192e-06  9.93112366e-07  1.01427491e-06  6.96033805e-01  7.27560311e-01 
 1.50000000e-08  1.50000000e-08  2.20711076e-08  1.00819191e-06  9.93162180e-07  1.01523223e-06  6.96033805e-01  7.27560312e-01 
 1.60000000e-08  1.60000000e-08  2.29807622e-08  1.00819192e-06  9.93210062e-07  1.01618978e-06  6.96033805e-01  7.27560309e-01 
 1.70000000e-08  1.70000000e-08  2.38924045e-08  1.00819192e-06  9.93256130e-07  1.01714749e-06  6.96033805e-01  7.27560312e-01 
 1.80000000e-08  1.80000000e-08  2.48058960e-08  1.00819192e-06  9.93300516e-07  1.01810537e-06  6.96033804e-01  7.27560310e-01 
 1.90000000e-08  1.90000000e-08  2.57210981e-08  1.00819192e-06  9.93343331e-07  1.01906339e-06  6.96033805e-01  7.27560311e-01 
 2.00000000e-08  2.00000000e-08  2.66379132e-08  1.00819193e-06  9.93384685e-07  1.02002155e-06  6.96033804e-01  7.27560311e-01 
 2.10000000e-08  2.10000000e-08  2.75562133e-08  1.00819191e-06  9.93424626e-07  1.02097980e-06  6.96033806e-01  7.27560313e-01 
 2.20000000e-08  2.20000000e-08  2.84759043e-08  1.00819192e-06  9.93463310e-07  1.02193818e-06  6.96033804e-01  7.27560311e-01 
 2.30000000e-08  2.30000000e-08  2.93969151e-08  1.00819192e-06  9.93500752e-07  1.02289663e-06  6.96033805e-01  7.27560310e-01 
 2.40000000e-08  2.40000000e-08  3.03191516e-08  1.00819193e-06  9.93537077e-07  1.02385519e-06  6.96033804e-01  7.27560313e-01 
 2.50000000e-08  2.50000000e-08  3.12425321e-08  1.00819191e-06  9.93572273e-07  1.02481377e-06  6.96033805e-01  7.27560312e-01 
 2.60000000e-08  2.60000000e-08  3.21669962e-08  1.00819193e-06  9.93606488e-07  1.02577245e-06  6.96033804e-01  7.27560309e-01 
 2.70000000e-08  2.70000000e-08  3.30924799e-08  1.00819190e-06  9.93639691e-07  1.02673115e-06  6.96033806e-01  7.27560311e-01 
 2.80000000e-08  2.80000000e-08  3.40189317e-08  1.00819191e-06  9.93672003e-07  1.02768991e-06  6.96033805e-01  7.27560310e-01 
 2.90000000e-08  2.90000000e-08  3.49462947e-08  1.00819191e-06  9.93703432e-07  1.02864870e-06  6.96033806e-01  7.27560311e-01 
 3.00000000e-08  3.00000000e-08  3.58744998e-08  1.00819193e-06  9.93734067e-07  1.02960754e-06  6.96033804e-01  7.27560311e-01 
 3.10000000e-08  3.10000000e-08  3.68035220e-08  1.00819192e-06  9.93763875e-07  1.03056637e-06  6.96033805e-01  7.27560313e-01 
 3.20000000e-08  3.20000000e-08  3.77332956e-08  1.00819192e-06  9.93792939e-07  1.03152522e-06  6.96033804e-01  7.27560310e-01 
 3.30000000e-08  3.30000000e-08  3.86638135e-08  1.00819190e-06  9.93821272e-07  1.03248407e-06  6.96033806e-01  7.27560312e-01 
 3.40000000e-08  3.40000000e-08  3.95950224e-08  1.00819192e-06  9.93848948e-07  1.03344295e-06  6.96033805e-01  7.27560311e-01 
 3.50000000e-08  3.50000000e-08  4.05268672e-08  1.00819191e-06  9.93875959e-07  1.03440181e-06  6.96033805e-01  7.27560312e-01 
 3.60000000e-08  3.60000000e-08  4.14593302e-08  1.00819191e-06  9.93902345e-07  1.03536067e-06  6.96033806e-01  7.27560311e-01 
 3.70000000e-08  3.70000000e-08  4.23923794e-08  1.00819193e-06  9.93928163e-07  1.03631954e-06  6.96033804e-01  7.27560311e-01 
 3.80000000e-08  3.80000000e-08  4.33260006e-08  1.00819190e-06  9.93953357e-07  1.03727835e-06  6.96033806e-01  7.27560311e-01 
 3.90000000e-08  3.90000000e-08  4.42601351e-08  1.00819193e-06  9.93978052e-07  1.03823718e-06  6.96033804e-01  7.27560310e-01 
 4.00000000e-08  4.00000000e-08  4.51947795e-08  1.00819192e-06  9.94002189e-07  1.03919596e-06  6.96033805e-01  7.27560312e-01 
 4.10000000e-08  4.10000000e-08  4.61298999e-08  1.00819191e-06  9.94025820e-07  1.04015472e-06  6.96033806e-01  7.27560309e-01 
 4.20000000e-08  4.20000000e-08  4.70654928e-08  1.00819191e-06  9.94048985e-07  1.04111347e-06  6.96033805e-01  7.27560313e-01 
 4.30000000e-08  4.30000000e-08  4.80015032e-08  1.00819192e-06  9.94071685e-07  1.04207218e-06  6.96033804e-01  7.27560310e-01 
 4.40000000e-08  4.40000000e-08  4.89379257e-08  1.00819193e-06  9.94093927e-07  1.04303085e-06  6.96033804e-01  7.27560313e-01 
 4.50000000e-08  4.50000000e-08  4.98747568e-08  1.00819192e-06  9.94115720e-07  1.04398947e-06  6.96033805e-01  7.27560310e-01 
 4.60000000e-08  4.60000000e-08  5.08119555e-08  1.00819191e-06  9.94137109e-07  1.04494806e-06  6.96033805e-01  7.27560312e-01 
 4.70000000e-08  4.70000000e-08  5.17495131e-08  1.00819193e-06  9.94158112e-07  1.04590663e-06  6.96033804e-01  7.27560310e-01 
 4.80000000e-08  4.80000000e-08  5.26874100e-08  1.00819193e-06  9.94178711e-07  1.04686512e-06  6.96033804e-01  7.27560311e-01 
 4.90000000e-08  4.90000000e-08  5.36256444e-08  1.00819192e-06  9.94198937e-07  1.04782358e-06  6.96033804e-01  7.27560311e-01 
 5.00000000e-08  5.00000000e-08  5.45641683e-08  1.00819192e-06  9.94218803e-07  1.04878198e-06  6.96033804e-01  7.27560312e-01 
 5.10000000e-08  5.10000000e-08  5.55029978e-08  1.00819191e-06  9.94238306e-07  1.04974031e-06  6.96033805e-01  7.27560308e-01 
