 i-sweep         i(Vin)          i(Vout)         i(Vbias)        i(v1)           i(v2)           i(vout1)        v(vbp)          v(vcn)         
 0.00000000e+00  0.00000000e+00  8.84238105e-09  1.00819192e-06  9.92073389e-07  1.00091466e-06  9.06584653e-09  6.96033804e-01  7.27560311e-01 
 1.00000000e-09  1.00000000e-09  9.67934355e-09  1.00819192e-06  9.92185630e-07  1.00186386e-06  9.92200470e-09  6.96033805e-01  7.27560312e-01 
 2.00000000e-09  2.00000000e-09  1.05348619e-08  1.00819190e-06  9.92281535e-07  1.00281530e-06  1.07967376e-08  6.96033806e-01  7.27560309e-01 
 3.00000000e-09  3.00000000e-09  1.13934924e-08  1.00819192e-06  9.92374751e-07  1.00376715e-06  1.16745532e-08  6.96033805e-01  7.27560314e-01 
 4.00000000e-09  4.00000000e-09  1.22588730e-08  1.00819192e-06  9.92462002e-07  1.00471979e-06  1.25590838e-08  6.96033805e-01  7.27560309e-01 
 5.00000000e-09  5.00000000e-09  1.31303572e-08  1.00819191e-06  9.92543868e-07  1.00567314e-06  1.34496692e-08  6.96033805e-01  7.27560312e-01 
 6.00000000e-09  6.00000000e-09  1.40072522e-08  1.00819191e-06  9.92620961e-07  1.00662713e-06  1.43456223e-08  6.96033805e-01  7.27560309e-01 
 7.00000000e-09  7.00000000e-09  1.48890109e-08  1.00819193e-06  9.92693771e-07  1.00758171e-06  1.52463792e-08  6.96033804e-01  7.27560312e-01 
 8.00000000e-09  8.00000000e-09  1.57751394e-08  1.00819191e-06  9.92762679e-07  1.00853674e-06  1.61514350e-08  6.96033806e-01  7.27560309e-01 
 9.00000000e-09  9.00000000e-09  1.66652185e-08  1.00819191e-06  9.92828102e-07  1.00949225e-06  1.70603736e-08  6.96033805e-01  7.27560310e-01 
 1.00000000e-08  1.00000000e-08  1.75588823e-08  1.00819193e-06  9.92890335e-07  1.01044816e-06  1.79728246e-08  6.96033804e-01  7.27560313e-01 
 1.10000000e-08  1.10000000e-08  1.84558324e-08  1.00819193e-06  9.92949644e-07  1.01140441e-06  1.88884837e-08  6.96033804e-01  7.27560311e-01 
 1.20000000e-08  1.20000000e-08  1.93557455e-08  1.00819191e-06  9.93006267e-07  1.01236096e-06  1.98070366e-08  6.96033805e-01  7.27560310e-01 
 1.30000000e-08  1.30000000e-08  2.02584136e-08  1.00819192e-06  9.93060453e-07  1.01331781e-06  2.07282604e-08  6.96033805e-01  7.27560312e-01 
 1.40000000e-08  1.40000000e-08  2.11636095e-08  1.00819190e-06  9.93112346e-07  1.01427490e-06  2.16519353e-08  6.96033806e-01  7.27560309e-01 
 1.50000000e-08  1.50000000e-08  2.20711129e-08  1.00819193e-06  9.93162191e-07  1.01523225e-06  2.25778438e-08  6.96033804e-01  7.27560314e-01 
 1.60000000e-08  1.60000000e-08  2.29807711e-08  1.00819191e-06  9.93210046e-07  1.01618976e-06  2.35058196e-08  6.96033806e-01  7.27560309e-01 
 1.70000000e-08  1.70000000e-08  2.38924045e-08  1.00819192e-06  9.93256124e-07  1.01714749e-06  2.44356925e-08  6.96033805e-01  7.27560312e-01 
 1.80000000e-08  1.80000000e-08  2.48058925e-08  1.00819192e-06  9.93300514e-07  1.01810536e-06  2.53673433e-08  6.96033805e-01  7.27560312e-01 
 1.90000000e-08  1.90000000e-08  2.57210999e-08  1.00819192e-06  9.93343329e-07  1.01906339e-06  2.63006306e-08  6.96033805e-01  7.27560312e-01 
 2.00000000e-08  2.00000000e-08  2.66379097e-08  1.00819191e-06  9.93384667e-07  1.02002154e-06  2.72354428e-08  6.96033805e-01  7.27560309e-01 
 2.10000000e-08  2.10000000e-08  2.75562133e-08  1.00819191e-06  9.93424626e-07  1.02097980e-06  2.81716699e-08  6.96033806e-01  7.27560312e-01 
 2.20000000e-08  2.20000000e-08  2.84759061e-08  1.00819193e-06  9.93463315e-07  1.02193819e-06  2.91092125e-08  6.96033804e-01  7.27560312e-01 
 2.30000000e-08  2.30000000e-08  2.93969222e-08  1.00819193e-06  9.93500766e-07  1.02289665e-06  3.00479954e-08  6.96033804e-01  7.27560312e-01 
 2.40000000e-08  2.40000000e-08  3.03191499e-08  1.00819192e-06  9.93537061e-07  1.02385518e-06  3.09879138e-08  6.96033805e-01  7.27560309e-01 
 2.50000000e-08  2.50000000e-08  3.12425357e-08  1.00819191e-06  9.93572268e-07  1.02481377e-06  3.19289184e-08  6.96033806e-01  7.27560311e-01 
 2.60000000e-08  2.60000000e-08  3.21669980e-08  1.00819193e-06  9.93606490e-07  1.02577246e-06  3.28709235e-08  6.96033804e-01  7.27560311e-01 
 2.70000000e-08  2.70000000e-08  3.30924852e-08  1.00819191e-06  9.93639699e-07  1.02673116e-06  3.38138795e-08  6.96033805e-01  7.27560311e-01 
 2.80000000e-08  2.80000000e-08  3.40189317e-08  1.00819191e-06  9.93672005e-07  1.02768991e-06  3.47577177e-08  6.96033805e-01  7.27560309e-01 
 2.90000000e-08  2.90000000e-08  3.49463001e-08  1.00819193e-06  9.93703456e-07  1.02864872e-06  3.57024052e-08  6.96033804e-01  7.27560312e-01 
 3.00000000e-08  3.00000000e-08  3.58744927e-08  1.00819191e-06  9.93734050e-07  1.02960752e-06  3.66478480e-08  6.96033805e-01  7.27560311e-01 
 3.10000000e-08  3.10000000e-08  3.68035185e-08  1.00819192e-06  9.93763873e-07  1.03056637e-06  3.75940517e-08  6.96033805e-01  7.27560311e-01 
 3.20000000e-08  3.20000000e-08  3.77333045e-08  1.00819193e-06  9.93792947e-07  1.03152523e-06  3.85409477e-08  6.96033804e-01  7.27560314e-01 
 3.30000000e-08  3.30000000e-08  3.86638117e-08  1.00819191e-06  9.93821285e-07  1.03248408e-06  3.94884943e-08  6.96033805e-01  7.27560310e-01 
 3.40000000e-08  3.40000000e-08  3.95950170e-08  1.00819191e-06  9.93848944e-07  1.03344295e-06  4.04366711e-08  6.96033805e-01  7.27560313e-01 
 3.50000000e-08  3.50000000e-08  4.05268636e-08  1.00819193e-06  9.93875974e-07  1.03440182e-06  4.13854207e-08  6.96033804e-01  7.27560310e-01 
 3.60000000e-08  3.60000000e-08  4.14593373e-08  1.00819192e-06  9.93902352e-07  1.03536068e-06  4.23347366e-08  6.96033805e-01  7.27560312e-01 
 3.70000000e-08  3.70000000e-08  4.23923883e-08  1.00819193e-06  9.93928163e-07  1.03631954e-06  4.32845612e-08  6.96033804e-01  7.27560312e-01 
 3.80000000e-08  3.80000000e-08  4.33260041e-08  1.00819192e-06  9.93953368e-07  1.03727836e-06  4.42348808e-08  6.96033805e-01  7.27560313e-01 
 3.90000000e-08  3.90000000e-08  4.42601351e-08  1.00819193e-06  9.93978055e-07  1.03823718e-06  4.51856587e-08  6.96033804e-01  7.27560312e-01 
 4.00000000e-08  4.00000000e-08  4.51947795e-08  1.00819190e-06  9.94002178e-07  1.03919595e-06  4.61368830e-08  6.96033806e-01  7.27560311e-01 
 4.10000000e-08  4.10000000e-08  4.61299052e-08  1.00819191e-06  9.94025825e-07  1.04015472e-06  4.70885264e-08  6.96033806e-01  7.27560310e-01 
 4.20000000e-08  4.20000000e-08  4.70654875e-08  1.00819191e-06  9.94048982e-07  1.04111346e-06  4.80405645e-08  6.96033805e-01  7.27560312e-01 
