 net1            i(Vout)         i(Vdump)        i(Vin)         
 4.07974795e-02  3.64048528e-14  1.00763884e-06  1.00763927e-06 
 4.07728917e-02  1.33193277e-08  9.94319888e-07  1.00763961e-06 
 4.07652827e-02  1.84887608e-08  9.89150557e-07  1.00763971e-06 
 4.07429649e-02  2.99401001e-08  9.77699526e-07  1.00764001e-06 
 4.07652123e-02  2.88227501e-08  9.78816566e-07  1.00763971e-06 
 4.07424055e-02  4.12941415e-08  9.66345489e-07  1.00764002e-06 
 4.07356957e-02  4.66812472e-08  9.60958474e-07  1.00764011e-06 
 4.07147763e-02  5.75252206e-08  9.50114789e-07  1.00764040e-06 
 4.08259450e-02  4.94892172e-08  9.58149265e-07  1.00763888e-06 
 4.08041516e-02  6.21891036e-08  9.45449679e-07  1.00763918e-06 
 4.07982720e-02  6.79106448e-08  9.39728217e-07  1.00763926e-06 
 4.07781652e-02  7.92252302e-08  9.28413908e-07  1.00763954e-06 
 4.08053469e-02  8.01894136e-08  9.27449348e-07  1.00763916e-06 
 4.07852519e-02  9.23976652e-08  9.15241372e-07  1.00763944e-06 
 4.07807927e-02  9.88383224e-08  9.08800775e-07  1.00763950e-06 
 4.07621071e-02  1.10026142e-07  8.97613212e-07  1.00763975e-06 
 4.11943544e-02  9.09612909e-08  9.16672157e-07  1.00763386e-06 
 4.11753941e-02  1.03292932e-07  9.04340777e-07  1.00763412e-06 
 4.11710789e-02  1.09184957e-07  8.98448810e-07  1.00763418e-06 
 4.11535081e-02  1.20427734e-07  8.87206275e-07  1.00763442e-06 
 4.11824723e-02  1.21386195e-07  8.86247413e-07  1.00763402e-06 
 4.11651623e-02  1.33340011e-07  8.74293836e-07  1.00763426e-06 
 4.11625428e-02  1.40045720e-07  8.67588161e-07  1.00763430e-06 
 4.11464517e-02  1.51314001e-07  8.56320100e-07  1.00763452e-06 
 4.12869603e-02  1.47638364e-07  8.59993811e-07  1.00763260e-06 
 4.12712827e-02  1.59685520e-07  8.47946871e-07  1.00763281e-06 
 4.12701955e-02  1.66614933e-07  8.41017471e-07  1.00763283e-06 
 4.12557047e-02  1.78190644e-07  8.29441959e-07  1.00763303e-06 
 4.12944811e-02  1.82109346e-07  8.25522722e-07  1.00763250e-06 
 4.12808416e-02  1.94261716e-07  8.13370539e-07  1.00763268e-06 
 4.12829384e-02  2.02795486e-07  8.04836738e-07  1.00763266e-06 
 4.12706596e-02  2.15114574e-07  7.92517818e-07  1.00763282e-06 
 4.29672014e-02  1.75667107e-07  8.31942145e-07  1.00760969e-06 
 4.29539911e-02  1.86888153e-07  8.20721282e-07  1.00760987e-06 
 4.29529062e-02  1.92957249e-07  8.14652198e-07  1.00760989e-06 
 4.29406985e-02  2.03643475e-07  8.03966141e-07  1.00761005e-06 
 4.29720571e-02  2.05323881e-07  8.02285301e-07  1.00760963e-06 
 4.29604419e-02  2.16440031e-07  7.91169311e-07  1.00760978e-06 
 4.29616728e-02  2.23594846e-07  7.84014477e-07  1.00760977e-06 
 4.29511328e-02  2.34657813e-07  7.72951655e-07  1.00760991e-06 
 4.30966374e-02  2.31041835e-07  7.76565641e-07  1.00760793e-06 
 4.30866652e-02  2.42086665e-07  7.65520947e-07  1.00760806e-06 
 4.30894560e-02  2.49260902e-07  7.58346670e-07  1.00760802e-06 
 4.30806184e-02  2.60399279e-07  7.47208414e-07  1.00760815e-06 
 4.31234401e-02  2.64983553e-07  7.42623550e-07  1.00760756e-06 
 4.31156948e-02  2.76407297e-07  7.31199912e-07  1.00760767e-06 
 4.31226984e-02  2.85467808e-07  7.22139303e-07  1.00760757e-06 
 4.31166291e-02  2.97712093e-07  7.09895099e-07  1.00760765e-06 
 4.37037888e-02  2.87048875e-07  7.20550301e-07  1.00759965e-06 
 4.36974322e-02  2.97497517e-07  7.10101746e-07  1.00759973e-06 
 4.37030979e-02  3.04802013e-07  7.02797170e-07  1.00759966e-06 
 4.36980284e-02  3.15700920e-07  6.91898333e-07  1.00759972e-06 
 4.37442740e-02  3.20283845e-07  6.87314771e-07  1.00759909e-06 
 4.37403419e-02  3.31232410e-07  6.76366260e-07  1.00759915e-06 
 4.37509158e-02  3.40487573e-07  6.67110950e-07  1.00759900e-06 
 4.37490570e-02  3.52631150e-07  6.54967397e-07  1.00759903e-06 
 4.39499424e-02  3.55101895e-07  6.52493904e-07  1.00759629e-06 
 4.39484147e-02  3.65805981e-07  6.41789838e-07  1.00759631e-06 
 4.39615608e-02  3.74979133e-07  6.32616504e-07  1.00759613e-06 
 4.39624127e-02  3.87012005e-07  6.20583618e-07  1.00759612e-06 
 4.40302016e-02  3.95975876e-07  6.11618817e-07  1.00759519e-06 
 4.40328371e-02  4.07893576e-07  5.99701079e-07  1.00759516e-06 
 4.40551363e-02  4.20315459e-07  5.87278887e-07  1.00759485e-06 
 4.40620994e-02  4.34743005e-07  5.72851242e-07  1.00759476e-06 
 5.14709754e-02  3.63414835e-07  6.44078250e-07  1.00749358e-06 
 5.14689509e-02  3.72189178e-07  6.35303934e-07  1.00749361e-06 
 5.14762021e-02  3.78778977e-07  6.28714035e-07  1.00749351e-06 
 5.14754762e-02  3.88277722e-07  6.19215299e-07  1.00749352e-06 
 5.15159914e-02  3.92129001e-07  6.15363462e-07  1.00749296e-06 
 5.15161344e-02  4.01459165e-07  6.06033296e-07  1.00749296e-06 
 5.15280303e-02  4.09844289e-07  5.97648006e-07  1.00749280e-06 
 5.15303365e-02  4.20579433e-07  5.86912828e-07  1.00749277e-06 
 5.16977569e-02  4.19561088e-07  5.87928881e-07  1.00749048e-06 
 5.16994906e-02  4.28509838e-07  5.78980106e-07  1.00749046e-06 
 5.17129607e-02  4.36564424e-07  5.70925333e-07  1.00749027e-06 
 5.17170416e-02  4.46950639e-07  5.60539061e-07  1.00749022e-06 
 5.17749981e-02  4.54092076e-07  5.53396827e-07  1.00748942e-06 
 5.17803178e-02  4.64150709e-07  5.43338119e-07  1.00748935e-06 
 5.18018072e-02  4.74975594e-07  5.32512936e-07  1.00748906e-06 
 5.18112578e-02  4.87474752e-07  5.20013646e-07  1.00748893e-06 
 5.24823603e-02  4.77789010e-07  5.29690210e-07  1.00747975e-06 
 5.24872221e-02  4.85934718e-07  5.21544434e-07  1.00747968e-06 
 5.25038805e-02  4.93931649e-07  5.13547273e-07  1.00747946e-06 
 5.25116882e-02  5.03836976e-07  5.03641836e-07  1.00747935e-06 
 5.25729486e-02  5.10749047e-07  4.96728924e-07  1.00747851e-06 
 5.25817168e-02  5.20084883e-07  4.87392966e-07  1.00747839e-06 
 5.26071182e-02  5.30813201e-07  4.76664297e-07  1.00747804e-06 
 5.26208648e-02  5.42883176e-07  4.64594129e-07  1.00747786e-06 
 5.28586256e-02  5.48007759e-07  4.59466292e-07  1.00747460e-06 
 5.28695647e-02  5.56768388e-07  4.50705510e-07  1.00747445e-06 
 5.28974759e-02  5.67051517e-07  4.40421996e-07  1.00747407e-06 
 5.29138231e-02  5.78566190e-07  4.28907094e-07  1.00747385e-06 
 5.30057151e-02  5.90353813e-07  4.17118211e-07  1.00747259e-06 
 5.30235133e-02  6.01112008e-07  4.06359768e-07  1.00747235e-06 
 5.30668009e-02  6.15641726e-07  3.91829452e-07  1.00747176e-06 
 5.30939763e-02  6.30659331e-07  3.76811469e-07  1.00747138e-06 
 5.59094747e-02  6.11899171e-07  3.95533110e-07  1.00743285e-06 
