 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(D0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.62449562e-12  2.59440137e-06  3.43884218e-01  1.14302905e+00  1.14302905e+00  2.59441408e-06  6.55475674e-12  2.27392318e-01  2.28104613e-01  9.92621096e-10  2.54739721e-06 
 1.00000000e+00  2.66831740e-08  2.56771719e-06  3.43870369e-01  1.14302812e+00  1.49787751e-07  2.59441468e-06  6.48050502e-11  2.27419307e-01  2.28101713e-01  2.75200751e-08  2.52141014e-06 
 0.00000000e+00  4.67011966e-08  2.54769955e-06  3.43857750e-01  1.14302812e+00  1.14302811e+00  2.59441509e-06  6.48228639e-11  2.27438145e-01  2.28099519e-01  4.74089035e-08  2.50191309e-06 
 1.00000000e+00  6.97232170e-08  2.52467808e-06  3.43845758e-01  1.14302718e+00  1.49783972e-07  2.59441562e-06  1.23094424e-10  2.27458503e-01  2.28096975e-01  7.02714154e-08  2.47948797e-06 
 0.00000000e+00  8.67707231e-08  2.50763095e-06  3.43833998e-01  1.14302812e+00  1.14302811e+00  2.59441600e-06  6.48177484e-11  2.27472776e-01  2.28095081e-01  8.71934986e-08  2.46288064e-06 
 1.00000000e+00  1.11042039e-07  2.48336010e-06  3.43822796e-01  1.14302718e+00  1.49783971e-07  2.59441646e-06  1.23115660e-10  2.27492040e-01  2.28092361e-01  1.11276275e-07  2.43923360e-06 
 0.00000000e+00  1.29605083e-07  2.46479751e-06  3.43812226e-01  1.14302718e+00  1.14302718e+00  2.59441690e-06  1.23115740e-10  2.27506015e-01  2.28090263e-01  1.29687503e-07  2.42114616e-06 
 1.00000000e+00  1.50905753e-07  2.44349709e-06  3.43802260e-01  1.14302624e+00  1.49780187e-07  2.59441716e-06  1.81368528e-10  2.27521326e-01  2.28087844e-01  1.50806157e-07  2.40038881e-06 
 0.00000000e+00  1.67020419e-07  2.42738281e-06  3.43791510e-01  1.14302812e+00  1.14302811e+00  2.59441757e-06  6.48164342e-11  2.27532429e-01  2.28085999e-01  1.66777806e-07  2.38468387e-06 
 1.00000000e+00  1.91484440e-07  2.40291924e-06  3.43781916e-01  1.14302718e+00  1.49783972e-07  2.59441803e-06  1.23099902e-10  2.27548572e-01  2.28083182e-01  1.91016387e-07  2.36083927e-06 
 0.00000000e+00  2.10824110e-07  2.38357994e-06  3.43772639e-01  1.14302718e+00  1.14302718e+00  2.59441838e-06  1.23084152e-10  2.27560767e-01  2.28080934e-01  2.10170956e-07  2.34198717e-06 
 1.00000000e+00  2.32565251e-07  2.36183908e-06  3.43764004e-01  1.14302625e+00  1.49780189e-07  2.59441865e-06  1.81371588e-10  2.27573932e-01  2.28078390e-01  2.31697056e-07  2.32079187e-06 
 0.00000000e+00  2.49629099e-07  2.34477550e-06  3.43754953e-01  1.14302718e+00  1.14302717e+00  2.59441895e-06  1.23119813e-10  2.27583893e-01  2.28076373e-01  2.48587051e-07  2.30415482e-06 
 1.00000000e+00  2.72441745e-07  2.32196319e-06  3.43746815e-01  1.14302624e+00  1.49780186e-07  2.59441926e-06  1.81387058e-10  2.27596729e-01  2.28073666e-01  2.71160760e-07  2.28191042e-06 
 0.00000000e+00  2.90756537e-07  2.30364873e-06  3.43738771e-01  1.14302625e+00  1.14302624e+00  2.59441959e-06  1.81374565e-10  2.27606668e-01  2.28071472e-01  2.89278450e-07  2.26405010e-06 
 1.00000000e+00  3.11279448e-07  2.28312609e-06  3.43731373e-01  1.14302531e+00  1.49776409e-07  2.59441985e-06  2.39622912e-10  2.27617442e-01  2.28068998e-01  3.09574974e-07  2.24403429e-06 
 0.00000000e+00  3.27855612e-07  2.26655031e-06  3.43722131e-01  1.14302812e+00  1.14302811e+00  2.59442025e-06  6.48158048e-11  2.27625879e-01  2.28066982e-01  3.25964280e-07  2.22786642e-06 
 1.00000000e+00  3.51713134e-07  2.24269309e-06  3.43714975e-01  1.14302718e+00  1.49783970e-07  2.59442054e-06  1.23102455e-10  2.27637634e-01  2.28064062e-01  3.49546667e-07  2.20459379e-06 
 0.00000000e+00  3.71460912e-07  2.22294558e-06  3.43707790e-01  1.14302718e+00  1.14302718e+00  2.59442081e-06  1.23095287e-10  2.27647042e-01  2.28061624e-01  3.69061256e-07  2.18532809e-06 
 1.00000000e+00  3.93108904e-07  2.20129782e-06  3.43701279e-01  1.14302625e+00  1.49780193e-07  2.59442106e-06  1.81386454e-10  2.27657041e-01  2.28058930e-01  3.90448236e-07  2.16420617e-06 
 0.00000000e+00  4.11017398e-07  2.18338951e-06  3.43694072e-01  1.14302718e+00  1.14302717e+00  2.59442123e-06  1.23115885e-10  2.27665070e-01  2.28056680e-01  4.08136669e-07  2.14673112e-06 
 1.00000000e+00  4.33484406e-07  2.16092285e-06  3.43687960e-01  1.14302625e+00  1.49780191e-07  2.59442159e-06  1.81377611e-10  2.27674868e-01  2.28053844e-01  4.30322364e-07  2.12480576e-06 
 0.00000000e+00  4.52362886e-07  2.14204458e-06  3.43681690e-01  1.14302625e+00  1.14302624e+00  2.59442181e-06  1.81395026e-10  2.27682865e-01  2.28051434e-01  4.48960089e-07  2.10638031e-06 
 1.00000000e+00  4.72980469e-07  2.12142717e-06  3.43676091e-01  1.14302531e+00  1.49776411e-07  2.59442197e-06  2.39649484e-10  2.27691369e-01  2.28048784e-01  4.69310340e-07  2.08625541e-06 
 0.00000000e+00  4.90357470e-07  2.10405045e-06  3.43669132e-01  1.14302718e+00  1.14302718e+00  2.59442224e-06  1.23087273e-10  2.27698364e-01  2.28046535e-01  4.86458472e-07  2.06929212e-06 
 1.00000000e+00  5.12986709e-07  2.08142148e-06  3.43663817e-01  1.14302625e+00  1.49780194e-07  2.59442252e-06  1.81383797e-10  2.27707239e-01  2.28043577e-01  5.08785011e-07  2.04719931e-06 
 0.00000000e+00  5.32399077e-07  2.06200926e-06  3.43658280e-01  1.14302625e+00  1.14302624e+00  2.59442268e-06  1.81390274e-10  2.27714655e-01  2.28041017e-01  5.27933524e-07  2.02824497e-06 
 1.00000000e+00  5.53328623e-07  2.04107988e-06  3.43653428e-01  1.14302531e+00  1.49776413e-07  2.59442284e-06  2.39649342e-10  2.27722460e-01  2.28038234e-01  5.48574411e-07  2.00780712e-06 
 0.00000000e+00  5.71343922e-07  2.02306483e-06  3.43647750e-01  1.14302625e+00  1.14302624e+00  2.59442307e-06  1.81368424e-10  2.27729026e-01  2.28035823e-01  5.66337802e-07  1.99021337e-06 
