 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00 -1.69658431e-12  2.75041796e-06  3.71709235e-01  1.14493873e+00  1.14493872e+00  2.75043127e-06  9.82226453e-12  2.38534479e-01  2.38109741e-01  5.92891425e-09  2.65687893e-06 
 1.00000000e+00  1.73312200e-08  2.73308484e-06  3.71713788e-01  1.14493736e+00  2.04998029e-07  2.75043108e-06  9.48574552e-11  2.38552091e-01  2.38107943e-01  2.34343993e-08  2.64024206e-06 
 0.00000000e+00  3.86547598e-08  2.71176124e-06  3.71716565e-01  1.14493790e+00  1.14493789e+00  2.75043099e-06  6.17106366e-11  2.38572507e-01  2.38105715e-01  4.49604514e-08  2.61977322e-06 
 1.00000000e+00  5.76581875e-08  2.69275757e-06  3.71721981e-01  1.14493653e+00  2.04993677e-07  2.75043078e-06  1.46732651e-10  2.38589667e-01  2.38103717e-01  6.41357261e-08  2.60152964e-06 
 0.00000000e+00  8.11838044e-08  2.66923180e-06  3.71724526e-01  1.14493790e+00  1.14493789e+00  2.75043062e-06  6.13601531e-11  2.38609710e-01  2.38101225e-01  8.78634481e-08  2.57894263e-06 
 1.00000000e+00  9.88307419e-08  2.65158457e-06  3.71731196e-01  1.14493654e+00  2.04993696e-07  2.75043032e-06  1.46417989e-10  2.38623958e-01  2.38099342e-01  1.05654614e-07  2.56199803e-06 
 0.00000000e+00  1.21289342e-07  2.62912582e-06  3.71736032e-01  1.14493707e+00  1.14493706e+00  2.75043018e-06  1.13256959e-10  2.38641220e-01  2.38096931e-01  1.28288081e-07  2.54043148e-06 
 1.00000000e+00  1.41176243e-07  2.60923856e-06  3.71743302e-01  1.14493570e+00  2.04989341e-07  2.75042982e-06  1.98280921e-10  2.38655759e-01  2.38094783e-01  1.48322030e-07  2.52133238e-06 
 0.00000000e+00  1.66339802e-07  2.58407477e-06  3.71750376e-01  1.14493765e+00  1.14493765e+00  2.75042961e-06  7.67585058e-11  2.38673255e-01  2.38092042e-01  1.73661698e-07  2.49716342e-06 
 1.00000000e+00  1.82882939e-07  2.56753131e-06  3.71758892e-01  1.14493629e+00  2.04992413e-07  2.75042927e-06  1.61781802e-10  2.38684253e-01  2.38090227e-01  1.90314822e-07  2.48127246e-06 
 0.00000000e+00  2.04845204e-07  2.54556868e-06  3.71765539e-01  1.14493682e+00  1.14493681e+00  2.75042892e-06  1.28640624e-10  2.38698289e-01  2.38087801e-01  2.12416223e-07  2.46017422e-06 
 1.00000000e+00  2.23902161e-07  2.52651150e-06  3.71774487e-01  1.14493546e+00  2.04988058e-07  2.75042866e-06  2.13676643e-10  2.38709983e-01  2.38085681e-01  2.31587869e-07  2.44186540e-06 
 0.00000000e+00  2.48745560e-07  2.50166774e-06  3.71780510e-01  1.14493683e+00  1.14493682e+00  2.75042832e-06  1.28302424e-10  2.38724605e-01  2.38082896e-01  2.56572587e-07  2.41799478e-06 
 1.00000000e+00  2.66258358e-07  2.48415459e-06  3.71790276e-01  1.14493546e+00  2.04988084e-07  2.75042798e-06  2.13320233e-10  2.38734521e-01  2.38080918e-01  2.74179646e-07  2.40116598e-06 
 0.00000000e+00  2.89799350e-07  2.46061331e-06  3.71798207e-01  1.14493599e+00  1.14493599e+00  2.75042768e-06  1.80195640e-10  2.38747384e-01  2.38078243e-01  2.97840552e-07  2.37854250e-06 
 1.00000000e+00  3.10226923e-07  2.44018530e-06  3.71808330e-01  1.14493463e+00  2.04983729e-07  2.75042726e-06  2.65210076e-10  2.38758132e-01  2.38075903e-01  3.18366197e-07  2.35890889e-06 
 0.00000000e+00  3.36701515e-07  2.41371097e-06  3.71801929e-01  1.14493794e+00  1.14493793e+00  2.75042752e-06  5.92130789e-11  2.38771542e-01  2.38072843e-01  3.44959759e-07  2.33346145e-06 
 1.00000000e+00  3.51949109e-07  2.39846289e-06  3.71813026e-01  1.14493657e+00  2.04993877e-07  2.75042703e-06  1.44247281e-10  2.38779014e-01  2.38071065e-01  3.60271878e-07  2.31880339e-06 
 0.00000000e+00  3.73662567e-07  2.37674905e-06  3.71822301e-01  1.14493710e+00  1.14493709e+00  2.75042665e-06  1.11118747e-10  2.38789358e-01  2.38068519e-01  3.82072258e-07  2.29792795e-06 
 1.00000000e+00  3.91960100e-07  2.35845109e-06  3.71833684e-01  1.14493574e+00  2.04989527e-07  2.75042622e-06  1.96120453e-10  2.38797816e-01  2.38066359e-01  4.00438722e-07  2.28033489e-06 
 0.00000000e+00  4.17000236e-07  2.33341065e-06  3.71842199e-01  1.14493711e+00  1.14493710e+00  2.75042592e-06  1.10759402e-10  2.38809039e-01  2.38063376e-01  4.25566888e-07  2.25625665e-06 
 1.00000000e+00  4.33507561e-07  2.31690280e-06  3.71854179e-01  1.14493574e+00  2.04989552e-07  2.75042538e-06  1.95786498e-10  2.38816221e-01  2.38061393e-01  4.42128375e-07  2.24038165e-06 
 0.00000000e+00  4.56949846e-07  2.29346012e-06  3.71864385e-01  1.14493628e+00  1.14493627e+00  2.75042499e-06  1.62645154e-10  2.38826154e-01  2.38058558e-01  4.65642367e-07  2.21783554e-06 
 1.00000000e+00  4.76813889e-07  2.27359559e-06  3.71876639e-01  1.14493491e+00  2.04985202e-07  2.75042450e-06  2.47657516e-10  2.38834326e-01  2.38056138e-01  4.85562630e-07  2.19872879e-06 
 0.00000000e+00  5.03962692e-07  2.24644632e-06  3.71888802e-01  1.14493686e+00  1.14493685e+00  2.75042404e-06  1.26145534e-10  2.38845166e-01  2.38052798e-01  5.12781572e-07  2.17261242e-06 
 1.00000000e+00  5.19331738e-07  2.23107677e-06  3.71901763e-01  1.14493550e+00  2.04988268e-07  2.75042353e-06  2.11173301e-10  2.38851144e-01  2.38050890e-01  5.28186991e-07  2.15782612e-06 
 0.00000000e+00  5.42034085e-07  2.20837395e-06  3.71912969e-01  1.14493603e+00  1.14493602e+00  2.75042306e-06  1.78015824e-10  2.38859763e-01  2.38048053e-01  5.50938786e-07  2.13598291e-06 
 1.00000000e+00  5.60932737e-07  2.18947471e-06  3.71926164e-01  1.14493466e+00  2.04983908e-07  2.75042249e-06  2.63055137e-10  2.38866766e-01  2.38045669e-01  5.69874731e-07  2.11779748e-06 
 0.00000000e+00  5.87403230e-07  2.16300380e-06  3.71936559e-01  1.14493603e+00  1.14493603e+00  2.75042206e-06  1.77681869e-10  2.38876320e-01  2.38042307e-01  5.96391757e-07  2.09232362e-06 
