 net1            i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  2.56771728e-06  2.66830375e-08  3.43869791e-01  1.14302905e+00  1.14302905e+00  2.59441463e-06  6.57252031e-12  2.28101713e-01  2.27419310e-01  2.52141021e-06  2.75198442e-08 
 1.00000000e+00  2.54770382e-06  4.66969750e-08  3.43857754e-01  1.14302812e+00  1.49787749e-07  2.59441513e-06  6.48228138e-11  2.28099518e-01  2.27438139e-01  2.50191727e-06  4.74047379e-08 
 0.00000000e+00  2.52467809e-06  6.97231327e-08  3.43845177e-01  1.14302812e+00  1.14302811e+00  2.59441555e-06  6.48299192e-11  2.28096974e-01  2.27458501e-01  2.47948796e-06  7.02712537e-08 
 1.00000000e+00  2.50764627e-06  8.67553643e-08  3.43834581e-01  1.14302718e+00  1.49783968e-07  2.59441595e-06  1.23083765e-10  2.28095081e-01  2.27472760e-01  2.46289560e-06  8.71783019e-08 
 0.00000000e+00  2.48336020e-06  1.11041963e-07  3.43822224e-01  1.14302812e+00  1.14302811e+00  2.59441649e-06  6.48228138e-11  2.28092363e-01  2.27492041e-01  2.43923370e-06  1.11276226e-07 
 1.00000000e+00  2.46480128e-06  1.29601286e-07  3.43812233e-01  1.14302718e+00  1.49783972e-07  2.59441689e-06  1.23091918e-10  2.28090267e-01  2.27506015e-01  2.42114978e-06  1.29683730e-07 
 0.00000000e+00  2.44349727e-06  1.50905683e-07  3.43801690e-01  1.14302718e+00  1.14302718e+00  2.59441729e-06  1.23105645e-10  2.28087844e-01  2.27521324e-01  2.40038895e-06  1.50806073e-07 
 1.00000000e+00  2.42743793e-06  1.66965336e-07  3.43792708e-01  1.14302625e+00  1.49780190e-07  2.59441759e-06  1.81378450e-10  2.28086007e-01  2.27532393e-01  2.38473758e-06  1.66723233e-07 
 0.00000000e+00  2.40291928e-06  1.91484320e-07  3.43781328e-01  1.14302812e+00  1.14302811e+00  2.59441793e-06  6.48304799e-11  2.28083178e-01  2.27548569e-01  2.36083933e-06  1.91016232e-07 
 1.00000000e+00  2.38358393e-06  2.10820150e-07  3.43772638e-01  1.14302718e+00  1.49783971e-07  2.59441838e-06  1.23103663e-10  2.28080933e-01  2.27560763e-01  2.34199110e-06  2.10167059e-07 
 0.00000000e+00  2.36183923e-06  2.32565176e-07  3.43763429e-01  1.14302718e+00  1.14302718e+00  2.59441873e-06  1.23094621e-10  2.28078389e-01  2.27573930e-01  2.32079202e-06  2.31696973e-07 
 1.00000000e+00  2.34479003e-06  2.49614683e-07  3.43755544e-01  1.14302625e+00  1.49780193e-07  2.59441903e-06  1.81373291e-10  2.28076377e-01  2.27583884e-01  2.30416902e-06  2.48572874e-07 
 0.00000000e+00  2.32196334e-06  2.72441676e-07  3.43746247e-01  1.14302718e+00  1.14302718e+00  2.59441937e-06  1.23101061e-10  2.28073669e-01  2.27596730e-01  2.28191059e-06  2.71160738e-07 
 1.00000000e+00  2.30365243e-06  2.90752846e-07  3.43738775e-01  1.14302625e+00  1.49780190e-07  2.59441963e-06  1.81393383e-10  2.28071472e-01  2.27606667e-01  2.26405372e-06  2.89274769e-07 
 0.00000000e+00  2.28312626e-06  3.11279346e-07  3.43730797e-01  1.14302625e+00  1.14302624e+00  2.59441993e-06  1.81383632e-10  2.28068995e-01  2.27617440e-01  2.24403449e-06  3.09574869e-07 
 1.00000000e+00  2.26676188e-06  3.27643926e-07  3.43723972e-01  1.14302531e+00  1.49776411e-07  2.59442014e-06  2.39632158e-10  2.28067008e-01  2.27625771e-01  2.22807275e-06  3.25754989e-07 
