 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 5.00000000e-01  9.06193436e-13  8.96378539e-13  1.98736710e-02  3.94927767e-01  3.53245423e-10  3.08242321e-12  8.52054538e-13  1.98268991e-02  1.97713170e-02  2.54729571e-11  2.54321009e-11 
 5.01000000e-01  9.41182960e-13  9.32212990e-13  2.02006039e-02  3.97419193e-01  3.54029052e-10  3.17357252e-12  9.11106260e-13  2.01548471e-02  2.01002456e-02  2.54942734e-11  2.54960497e-11 
 5.02000000e-01  9.80478249e-13  9.67923660e-13  2.05259131e-02  4.00034277e-01  3.54813680e-10  3.27271543e-12  9.67099664e-13  2.04812274e-02  2.04277295e-02  2.55440114e-11  2.55049315e-11 
 5.03000000e-01  1.01960555e-12  1.01040978e-12  2.08948901e-02  4.02891543e-01  3.55598438e-10  3.37385675e-12  1.02259173e-12  2.08514597e-02  2.07992371e-02  2.55528931e-11  2.55759858e-11 
 5.04000000e-01  1.06372991e-12  1.04879961e-12  2.12581145e-02  4.05619738e-01  3.56383724e-10  3.47943896e-12  1.08704365e-12  2.12157562e-02  2.11647501e-02  2.56186183e-11  2.56346055e-11 
 5.05000000e-01  1.10082274e-12  1.09442246e-12  2.16317999e-02  4.08394481e-01  3.57169484e-10  3.58824082e-12  1.14376043e-12  2.15905168e-02  2.15404630e-02  2.56843435e-11  2.56559218e-11 
 5.06000000e-01  1.14730371e-12  1.13342176e-12  2.19978177e-02  4.11341431e-01  3.57955687e-10  3.69915210e-12  1.19927158e-12  2.19577673e-02  2.19091920e-02  2.57021071e-11  2.57216470e-11 
 5.07000000e-01  1.19114718e-12  1.18728976e-12  2.24056958e-02  4.14129626e-01  3.58742428e-10  3.81594756e-12  1.25746809e-12  2.23666069e-02  2.23188269e-02  2.57429633e-11  2.57234234e-11 
 5.08000000e-01  1.24077467e-12  1.23171003e-12  2.28165225e-02  4.17304959e-01  3.59529545e-10  3.93907129e-12  1.32413525e-12  2.27787059e-02  2.27324463e-02  2.57784905e-11  2.57838195e-11 
 5.09000000e-01  1.28940005e-12  1.28075791e-12  2.32146953e-02  4.20480230e-01  3.60317220e-10  4.06419343e-12  1.38586885e-12  2.31781298e-02  2.31332308e-02  2.58175703e-11  2.58157939e-11 
