 v-sweep         i(VloutI)       i(VldumpI)      v(Vin)          v(Vgate)        v(d0)           i(vini)         i(vgatei)       v(vloutv)       v(vldumpv)      i(vout)         i(vdump)       
 0.00000000e+00  2.56715239e-06  2.65707503e-08  3.61713352e-01  1.14302924e+00  2.09654220e-09  2.59373807e-06 -4.92764472e-12  2.37871671e-01  2.37173433e-01 -3.20336656e-07 -3.20336663e-07 
 1.00000000e-03  2.56715242e-06  2.65707391e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.92794902e-12  2.37871673e-01  2.37173434e-01 -2.42908753e-07 -3.08114304e-07 
 2.00000000e-03  2.56715243e-06  2.65707410e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.92462525e-12  2.37871671e-01  2.37173434e-01 -1.66895443e-07 -2.96210352e-07 
 3.00000000e-03  2.56715249e-06  2.65707214e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373817e-06 -4.93498897e-12  2.37871670e-01  2.37173434e-01 -9.22927509e-08 -2.84622704e-07 
 4.00000000e-03  2.56715244e-06  2.65707307e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.92725454e-12  2.37871672e-01  2.37173435e-01 -1.90964121e-08 -2.73349193e-07 
 5.00000000e-03  2.56715253e-06  2.65707330e-08  3.61713360e-01  1.14302924e+00  2.09654219e-09  2.59373819e-06 -4.92482914e-12  2.37871672e-01  2.37173434e-01  5.26980241e-08 -2.62387482e-07 
 6.00000000e-03  2.56715240e-06  2.65707348e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373807e-06 -4.92482131e-12  2.37871672e-01  2.37173434e-01  1.23095291e-07 -2.51735101e-07 
 7.00000000e-03  2.56715256e-06  2.65707542e-08  3.61713362e-01  1.14302924e+00  2.09654219e-09  2.59373822e-06 -4.93872354e-12  2.37871672e-01  2.37173435e-01  1.92100334e-07 -2.41389464e-07 
 8.00000000e-03  2.56715241e-06  2.65707308e-08  3.61713352e-01  1.14302924e+00  2.09654219e-09  2.59373808e-06 -4.94033275e-12  2.37871671e-01  2.37173433e-01  2.59718395e-07 -2.31347788e-07 
 9.00000000e-03  2.56715247e-06  2.65707585e-08  3.61713361e-01  1.14302924e+00  2.09654219e-09  2.59373814e-06 -4.93235310e-12  2.37871674e-01  2.37173433e-01  3.25955030e-07 -2.21607210e-07 
 1.00000000e-02  2.56715238e-06  2.65707265e-08  3.61713349e-01  1.14302924e+00  2.09654219e-09  2.59373804e-06 -4.94100253e-12  2.37871670e-01  2.37173433e-01  3.90816018e-07 -2.12164642e-07 
 1.10000000e-02  2.56715248e-06  2.65707197e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.93455748e-12  2.37871671e-01  2.37173435e-01  4.54307527e-07 -2.03016854e-07 
 1.20000000e-02  2.56715248e-06  2.65707363e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373816e-06 -4.93805382e-12  2.37871672e-01  2.37173434e-01  5.16436033e-07 -1.94160497e-07 
 1.30000000e-02  2.56715241e-06  2.65707232e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373807e-06 -4.93745219e-12  2.37871671e-01  2.37173435e-01  5.77208337e-07 -1.85591917e-07 
 1.40000000e-02  2.56715247e-06  2.65707256e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373815e-06 -4.93227926e-12  2.37871670e-01  2.37173432e-01  6.36631617e-07 -1.77307446e-07 
 1.50000000e-02  2.56715244e-06  2.65707185e-08  3.61713353e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.94012144e-12  2.37871670e-01  2.37173435e-01  6.94713403e-07 -1.69303106e-07 
 1.60000000e-02  2.56715244e-06  2.65707482e-08  3.61713355e-01  1.14302924e+00  2.09654219e-09  2.59373811e-06 -4.93426704e-12  2.37871671e-01  2.37173434e-01  7.51461659e-07 -1.61574801e-07 
 1.70000000e-02  2.56715241e-06  2.65707433e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373809e-06 -4.93179725e-12  2.37871673e-01  2.37173434e-01  8.06884729e-07 -1.54118284e-07 
 1.80000000e-02  2.56715253e-06  2.65707065e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373817e-06 -4.93306476e-12  2.37871671e-01  2.37173435e-01  8.60991439e-07 -1.46929021e-07 
 1.90000000e-02  2.56715244e-06  2.65707709e-08  3.61713358e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.93188130e-12  2.37871673e-01  2.37173433e-01  9.13790895e-07 -1.40002304e-07 
 2.00000000e-02  2.56715242e-06  2.65707474e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.92931683e-12  2.37871672e-01  2.37173434e-01  9.65292898e-07 -1.33333402e-07 
 2.10000000e-02  2.56715246e-06  2.65707189e-08  3.61713356e-01  1.14302924e+00  2.09654219e-09  2.59373813e-06 -4.93486165e-12  2.37871672e-01  2.37173436e-01  1.01550756e-06 -1.26917237e-07 
 2.20000000e-02  2.56715242e-06  2.65707376e-08  3.61713357e-01  1.14302924e+00  2.09654219e-09  2.59373810e-06 -4.93561221e-12  2.37871672e-01  2.37173434e-01  1.06444547e-06 -1.20748568e-07 
 2.30000000e-02  2.56715241e-06  2.65707352e-08  3.61713351e-01  1.14302924e+00  2.09654219e-09  2.59373809e-06 -4.93606225e-12  2.37871670e-01  2.37173433e-01  1.11211782e-06 -1.14822074e-07 
